Year,Month,Region,Province/HUC/ICC,Cases
2017,3,8,ORMOC CITY,38
2017,3,8,SAMAR (WESTERN SAMAR),38
2017,3,8,SOUTHERN LEYTE,32
2017,3,8,TACLOBAN CITY,48
2017,3,9,CITY OF ISABELA,22
2017,3,9,ZAMBOANGA CITY,139
2017,3,9,ZAMBOANGA DEL NORTE,43
2017,3,9,ZAMBOANGA DEL SUR,25
2017,3,9,ZAMBOANGA SIBUGAY,37
2017,3,10,BUKIDNON,133
2017,3,10,CAGAYAN DE ORO CITY,100
2017,3,10,CAMIGUIN,9
2017,3,10,ILIGAN CITY,46
2017,3,10,LANAO DEL NORTE,21
2017,3,10,MISAMIS OCCIDENTAL,93
2017,3,10,MISAMIS ORIENTAL,115
2017,3,11,DAVAO CITY,129
2017,3,11,DAVAO DE ORO,40
2017,3,11,DAVAO DEL NORTE,64
2017,3,11,DAVAO DEL SUR,15
2017,3,11,DAVAO OCCIDENTAL,2
2017,3,11,DAVAO ORIENTAL,32
2017,3,12,COTABATO (NORTH COTABATO),206
2017,3,12,GENERAL SANTOS CITY (DADIANGAS),222
2017,3,12,SARANGANI,188
2017,3,12,SOUTH COTABATO,297
2017,3,12,SULTAN KUDARAT,75
2017,3,4A,BATANGAS,106
2017,3,4A,CAVITE,218
2017,3,4A,LAGUNA,259
2017,3,4A,LUCENA CITY,21
2017,3,4A,QUEZON,94
2017,3,4A,RIZAL,247
2017,3,4B,MARINDUQUE,5
2017,3,4B,OCCIDENTAL MINDORO,46
2017,3,4B,ORIENTAL MINDORO,27
2017,3,4B,PALAWAN,35
2017,3,4B,PUERTO PRINCESA CITY,15
2017,3,4B,ROMBLON,6
2017,3,BARMM,BASILAN,18
2017,3,BARMM,COTABATO CITY,9
2017,3,BARMM,SULU,2
2017,3,BARMM,TAWI-TAWI,6
2017,3,CAR,ABRA,17
2017,3,CAR,APAYAO,8
2017,3,CAR,BAGUIO CITY,13
2017,3,CAR,BENGUET,15
2017,3,CAR,IFUGAO,3
2017,3,CAR,KALINGA,21
2017,3,CAR,MOUNTAIN PROVINCE,1
2017,3,CARAGA,AGUSAN DEL NORTE,22
2017,3,CARAGA,AGUSAN DEL SUR,50
2017,3,CARAGA,BUTUAN CITY,46
2017,3,CARAGA,DINAGAT ISLANDS,2
2017,3,CARAGA,SURIGAO DEL NORTE,53
2017,3,CARAGA,SURIGAO DEL SUR,76
2017,3,NCR,CALOOCAN CITY,97
2017,3,NCR,CITY OF LAS PIÑAS,18
2017,3,NCR,CITY OF MAKATI,35
2017,3,NCR,CITY OF MALABON,34
2017,3,NCR,CITY OF MANDALUYONG,22
2017,3,NCR,CITY OF MANILA,102
2017,3,NCR,CITY OF MARIKINA,31
2017,3,NCR,CITY OF MUNTINLUPA,13
2017,3,NCR,CITY OF NAVOTAS,14
2017,3,NCR,CITY OF PARAÑAQUE,71
2017,3,NCR,CITY OF PASIG,39
2017,3,NCR,CITY OF SAN JUAN,6
2017,3,NCR,CITY OF VALENZUELA,33
2017,3,NCR,PASAY CITY,6
2017,3,NCR,PATEROS,1
2017,3,NCR,QUEZON CITY,422
2017,3,NCR,TAGUIG CITY,39
2017,4,1,DAGUPAN CITY,9
2017,4,1,ILOCOS NORTE,16
2017,4,1,ILOCOS SUR,26
2017,4,1,LA UNION,28
2017,4,1,PANGASINAN,73
2017,4,2,CAGAYAN,20
2017,4,2,CITY OF SANTIAGO,2
2017,4,2,ISABELA,35
2017,4,2,NUEVA VIZCAYA,24
2017,4,2,QUIRINO,11
2017,4,3,ANGELES CITY,17
2017,4,3,AURORA,5
2017,4,3,BATAAN,62
2017,4,3,BULACAN,135
2017,4,3,NUEVA ECIJA,58
2017,4,3,OLONGAPO CITY,19
2017,4,3,PAMPANGA,100
2017,4,3,TARLAC,64
2017,4,3,ZAMBALES,48
2017,4,5,ALBAY,16
2017,4,5,CAMARINES NORTE,7
2017,4,5,CAMARINES SUR,19
2017,4,5,CATANDUANES,3
2017,4,5,MASBATE,11
2017,4,5,NAGA CITY,40
2017,4,5,SORSOGON,7
2017,4,6,AKLAN,42
2017,4,6,ANTIQUE,20
2017,4,6,BACOLOD CITY,38
2017,4,6,CAPIZ,11
2017,4,6,GUIMARAS,1
2017,4,6,ILOILO,49
2017,4,6,ILOILO CITY,10
2017,4,6,NEGROS OCCIDENTAL,98
2017,4,7,BOHOL,55
2017,4,7,CEBU,241
2017,4,7,CEBU CITY,122
2017,4,7,LAPU-LAPU CITY (OPON),48
2017,4,7,MANDAUE CITY,28
2017,4,7,NEGROS ORIENTAL,119
2017,4,7,SIQUIJOR,5
2017,4,8,BILIRAN,25
2017,4,8,EASTERN SAMAR,16
2017,4,8,LEYTE,92
2017,4,8,NORTHERN SAMAR,9
2017,4,8,ORMOC CITY,30
2017,4,8,SAMAR (WESTERN SAMAR),22
2017,4,8,SOUTHERN LEYTE,38
2017,4,8,TACLOBAN CITY,55
2017,4,9,CITY OF ISABELA,23
2017,4,9,ZAMBOANGA CITY,136
2017,4,9,ZAMBOANGA DEL NORTE,34
2017,4,9,ZAMBOANGA DEL SUR,27
2017,4,9,ZAMBOANGA SIBUGAY,36
2017,4,10,BUKIDNON,113
2017,4,10,CAGAYAN DE ORO CITY,62
2017,4,10,CAMIGUIN,5
2017,4,10,ILIGAN CITY,26
2017,4,10,LANAO DEL NORTE,24
2017,4,10,MISAMIS OCCIDENTAL,57
2017,4,10,MISAMIS ORIENTAL,60
2017,4,11,DAVAO CITY,96
2017,4,11,DAVAO DE ORO,39
2017,4,11,DAVAO DEL NORTE,41
2017,4,11,DAVAO DEL SUR,9
2017,4,11,DAVAO ORIENTAL,22
2017,4,12,COTABATO (NORTH COTABATO),217
2017,4,12,GENERAL SANTOS CITY (DADIANGAS),130
2017,4,12,SARANGANI,142
2017,4,12,SOUTH COTABATO,337
2017,4,12,SULTAN KUDARAT,88
2017,4,4A,BATANGAS,70
2017,4,4A,CAVITE,116
2017,4,4A,LAGUNA,127
2017,4,4A,LUCENA CITY,11
2017,4,4A,QUEZON,34
2017,4,4A,RIZAL,134
2017,4,4B,MARINDUQUE,1
2017,4,4B,OCCIDENTAL MINDORO,26
2017,4,4B,ORIENTAL MINDORO,11
2017,4,4B,PALAWAN,16
2017,4,4B,PUERTO PRINCESA CITY,4
